,County,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t
39,"Falls Church city, Virginia (County)",98.2%,78.1%,59.9%,59.9%,3.4%,"$114,795","$65,510","$3,025","$1,775",2.60,83.3%,28.9
40,"Fauquier County, Virginia",91.4%,35.3%,78.4%,78.4%,5.7%,"$94,775","$43,067","$2,135","$1,229",2.84,90.1%,39.8
41,"Floyd County, Virginia",84.3%,19.4%,80.8%,80.8%,12.4%,"$48,396","$25,446","$1,070",$611,2.41,93.5%,31.6
42,"Fluvanna County, Virginia",91.7%,32.3%,80.8%,80.8%,6.7%,"$67,964","$31,952","$1,537","$1,252",2.54,88.0%,33.4
43,"Franklin city, Virginia (County)",81.9%,25.3%,49.7%,49.7%,20.8%,"$38,760","$24,820","$1,315",$847,2.36,82.2%,26.2
44,"Franklin County, Virginia",86.2%,20.7%,79.3%,79.3%,13.3%,"$51,208","$27,282","$1,181",$660,2.36,88.0%,30.2
45,"Frederick County, Virginia",88.2%,27.7%,77.5%,77.5%,6.7%,"$71,037","$32,554","$1,547","$1,121",2.71,88.3%,31.1
46,"Fredericksburg city, Virginia (County)",91.3%,42.9%,36.0%,36.0%,14.1%,"$57,258","$32,359","$1,930","$1,123",2.44,73.3%,27.7
47,"Galax city, Virginia (County)",76.5%,10.3%,59.0%,59.0%,21.5%,"$31,311","$22,572",$890,$580,2.25,90.8%,18.6
48,"Giles County, Virginia",87.0%,17.0%,74.8%,74.8%,11.4%,"$49,734","$25,004","$1,002",$683,2.36,88.1%,24.9
49,"Gloucester County, Virginia",89.8%,22.8%,77.2%,77.2%,9.8%,"$63,881","$32,271","$1,442",$923,2.49,91.4%,32.9
50,"Goochland County, Virginia",91.3%,38.9%,87.0%,87.0%,6.1%,"$86,652","$47,610","$1,749","$1,096",2.54,89.0%,31.1
51,"Grayson County, Virginia",81.1%,12.8%,78.7%,78.7%,19.1%,"$32,048","$20,525",$879,$513,2.25,90.1%,27.8
52,"Greene County, Virginia",84.6%,26.7%,80.6%,80.6%,8.3%,"$62,952","$30,215","$1,532",$957,2.63,92.3%,31.2
53,"Greensville County, Virginia",75.3%,7.5%,75.5%,75.5%,23.9%,"$42,121","$16,835","$1,024",$769,2.33,79.8%,22.9
54,"Halifax County, Virginia",79.7%,15.9%,72.6%,72.6%,17.9%,"$39,233","$21,155",$985,$595,2.43,93.3%,25.3
55,"Hampton city, Virginia (County)",90.7%,25.6%,56.9%,56.9%,15.5%,"$52,021","$27,053","$1,479","$1,062",2.46,80.7%,22.4
56,"Hanover County, Virginia",92.9%,37.9%,81.3%,81.3%,5.4%,"$84,955","$37,924","$1,723","$1,113",2.65,89.4%,26.1
57,"Harrisonburg city, Virginia (County)",83.9%,34.9%,38.3%,38.3%,23.3%,"$43,009","$20,134","$1,230",$857,2.71,66.9%,15.7
58,"Henrico County, Virginia",91.2%,42.1%,62.9%,62.9%,9.5%,"$66,447","$36,497","$1,541","$1,095",2.55,84.5%,22.3
59,"Henry County, Virginia",79.8%,12.8%,73.2%,73.2%,16.2%,"$36,779","$21,473",$916,$586,2.31,89.3%,23.6
60,"Highland County, Virginia",84.5%,25.0%,85.5%,85.5%,12.5%,"$45,094","$32,648","$1,104",$555,1.90,97.3%,22.5
61,"Hopewell city, Virginia (County)",81.1%,15.1%,51.0%,51.0%,19.9%,"$40,712","$22,668","$1,027",$831,2.42,83.1%,24.0
62,"Isle of Wight County, Virginia",87.6%,26.9%,77.3%,77.3%,8.5%,"$67,767","$33,172","$1,701","$1,018",2.53,89.5%,29.2
63,"James City County, Virginia",94.3%,47.9%,74.3%,74.3%,6.8%,"$80,772","$42,047","$1,752","$1,202",2.53,84.8%,25.0
64,"King and Queen County, Virginia",85.5%,18.9%,78.7%,78.7%,12.3%,"$51,495","$25,831","$1,191",$845,2.51,94.4%,34.6
65,"King George County, Virginia",93.8%,34.2%,75.6%,75.6%,6.8%,"$84,770","$35,676","$1,894","$1,178",2.83,85.4%,37.1
66,"King William County, Virginia",89.6%,19.0%,86.1%,86.1%,6.8%,"$67,423","$31,192","$1,434","$1,094",2.68,92.1%,37.4
67,"Lancaster County, Virginia",90.1%,31.9%,73.2%,73.2%,12.9%,"$51,495","$33,997","$1,445",$817,2.11,88.7%,26.7
68,"Lee County, Virginia",74.6%,11.1%,71.9%,71.9%,28.2%,"$32,590","$18,514",$898,$530,2.47,87.9%,29.8
69,"Lexington city, Virginia (County)",83.5%,38.5%,59.3%,59.3%,24.5%,"$37,309","$16,668","$1,078",$785,1.85,78.0%,16.7
70,"Loudoun County, Virginia",93.5%,59.8%,77.9%,77.9%,3.0%,"$129,588","$50,456","$2,664","$1,764",3.07,86.5%,33.7
71,"Louisa County, Virginia",84.6%,23.2%,79.7%,79.7%,10.8%,"$56,946","$30,237","$1,424",$932,2.58,87.4%,36.3
72,"Lunenburg County, Virginia",76.3%,10.6%,72.0%,72.0%,20.5%,"$39,537","$18,555",$987,$676,2.55,94.0%,29.1
73,"Lynchburg city, Virginia (County)",88.0%,33.6%,49.7%,49.7%,18.8%,"$41,971","$22,439","$1,167",$835,2.43,77.0%,17.4
74,"Madison County, Virginia",87.0%,26.9%,73.4%,73.4%,11.3%,"$52,287","$29,705","$1,524",$742,2.52,86.7%,30.5
75,"Manassas city, Virginia (County)",81.3%,29.7%,63.6%,63.6%,8.7%,"$77,551","$30,572","$2,022","$1,439",3.29,84.0%,34.1
76,"Manassas Park city, Virginia (County)",82.3%,31.4%,67.5%,67.5%,7.1%,"$79,131","$29,641","$1,907","$1,635",3.37,80.8%,37.3
77,"Martinsville city, Virginia (County)",80.9%,20.9%,55.1%,55.1%,22.5%,"$33,545","$22,544",$914,$642,2.24,83.0%,19.9
78,"Mathews County, Virginia",91.4%,26.9%,86.2%,86.2%,9.7%,"$63,622","$35,252","$1,204",$924,2.32,88.6%,32.5
79,"Mecklenburg County, Virginia",81.6%,18.2%,72.2%,72.2%,17.5%,"$41,126","$22,970","$1,025",$690,2.54,92.5%,24.7
80,"Middlesex County, Virginia",88.1%,22.1%,80.9%,80.9%,13.6%,"$50,483","$29,871","$1,564",$793,2.28,89.9%,31.0
81,"Montgomery County, Virginia",92.0%,46.3%,54.9%,54.9%,23.0%,"$53,424","$28,277","$1,400",$936,2.49,73.8%,18.7
82,"Nelson County, Virginia",85.7%,30.8%,71.8%,71.8%,13.2%,"$53,834","$33,597","$1,366",$688,2.26,91.8%,31.2
83,"New Kent County, Virginia",92.6%,26.9%,81.8%,81.8%,5.5%,"$78,429","$36,768","$1,621",$882,2.64,86.3%,33.4
84,"Newport News city, Virginia (County)",89.3%,24.8%,50.0%,50.0%,17.2%,"$51,082","$26,028","$1,458",$985,2.51,79.1%,23.0
85,"Norfolk city, Virginia (County)",87.5%,27.3%,43.4%,43.4%,20.9%,"$47,137","$26,670","$1,502","$1,003",2.52,73.5%,21.2
86,"Northampton County, Virginia",81.1%,23.2%,64.6%,64.6%,18.6%,"$41,468","$24,835","$1,200",$713,2.26,93.9%,20.3
87,"Northumberland County, Virginia",90.7%,26.4%,85.2%,85.2%,14.4%,"$56,677","$33,364","$1,427",$754,2.12,90.5%,27.5
88,"Norton city, Virginia (County)",83.3%,17.0%,48.6%,48.6%,22.3%,"$26,971","$19,297",$742,$549,2.23,79.6%,14.3
89,"Nottoway County, Virginia",76.6%,13.7%,58.9%,58.9%,22.1%,"$38,410","$19,452","$1,129",$780,2.44,88.4%,25.4
90,"Orange County, Virginia",88.6%,25.6%,77.3%,77.3%,9.1%,"$67,196","$30,660","$1,522",$918,2.58,87.6%,39.3
91,"Page County, Virginia",81.0%,13.2%,68.9%,68.9%,15.4%,"$46,140","$24,057","$1,156",$734,2.48,86.6%,33.8
92,"Patrick County, Virginia",78.7%,14.3%,77.0%,77.0%,14.5%,"$37,757","$21,785","$1,014",$544,2.29,85.8%,28.0
93,"Petersburg city, Virginia (County)",80.6%,17.5%,41.7%,41.7%,21.8%,"$33,939","$21,992","$1,175",$882,2.36,75.4%,22.5
94,"Pittsylvania County, Virginia",82.4%,14.1%,75.2%,75.2%,12.6%,"$44,356","$23,597",$991,$667,2.28,89.4%,25.1
95,"Poquoson city, Virginia (County)",95.9%,41.5%,79.8%,79.8%,5.0%,"$88,328","$39,305","$2,028","$1,173",2.61,87.4%,24.6
96,"Portsmouth city, Virginia (County)",86.0%,21.9%,54.4%,54.4%,18.5%,"$48,727","$24,291","$1,443",$988,2.52,81.0%,24.1
97,"Powhatan County, Virginia",90.8%,28.4%,89.8%,89.8%,5.4%,"$80,441","$33,807","$1,552",$983,2.58,89.6%,31.8
98,"Prince Edward County, Virginia",82.6%,24.9%,64.9%,64.9%,23.4%,"$44,147","$19,751","$1,176",$764,2.52,87.1%,21.4
99,"Prince George County, Virginia",89.6%,23.0%,68.2%,68.2%,10.7%,"$68,461","$27,970","$1,423","$1,295",2.98,82.4%,25.7
100,"Prince William County, Virginia",88.8%,39.8%,72.5%,72.5%,6.1%,"$101,059","$38,225","$2,217","$1,620",3.21,85.4%,39.1
101,"Pulaski County, Virginia",85.4%,18.5%,72.8%,72.8%,14.8%,"$49,691","$26,328","$1,052",$641,2.28,86.7%,22.8
102,"Radford city, Virginia (County)",88.2%,34.4%,46.5%,46.5%,28.6%,"$36,082","$19,539","$1,253",$779,2.61,71.7%,19.1
103,"Rappahannock County, Virginia",88.6%,33.6%,75.2%,75.2%,8.9%,"$62,541","$38,185","$1,874","$1,056",2.34,92.8%,37.9
104,"Richmond city, Virginia (County)",84.5%,37.5%,41.7%,41.7%,24.0%,"$42,356","$30,113","$1,494",$942,2.35,76.3%,21.9
105,"Richmond County, Virginia",80.5%,13.4%,71.9%,71.9%,18.4%,"$47,341","$19,728","$1,129",$816,2.20,87.3%,24.7
106,"Roanoke city, Virginia (County)",85.0%,23.2%,51.9%,51.9%,19.3%,"$41,483","$24,697","$1,081",$776,2.30,79.6%,20.8
107,"Roanoke County, Virginia",92.1%,34.7%,74.8%,74.8%,7.3%,"$62,134","$33,717","$1,314",$907,2.37,87.3%,22.4
108,"Rockbridge County, Virginia",85.7%,25.8%,76.9%,76.9%,12.6%,"$53,918","$31,534","$1,267",$742,2.43,88.1%,23.5
109,"Rockingham County, Virginia",82.5%,24.8%,73.3%,73.3%,8.4%,"$57,651","$28,884","$1,307",$848,2.52,88.0%,21.7
110,"Russell County, Virginia",78.8%,13.6%,77.9%,77.9%,20.2%,"$40,083","$21,673",$954,$544,2.45,91.7%,28.1
111,"Salem city, Virginia (County)",90.0%,27.7%,65.5%,65.5%,10.8%,"$53,990","$30,141","$1,265",$874,2.31,81.7%,19.6
112,"Scott County, Virginia",79.9%,13.3%,77.2%,77.2%,17.6%,"$38,725","$20,969",$894,$529,2.40,88.4%,28.2
113,"Shenandoah County, Virginia",86.0%,19.2%,69.7%,69.7%,9.5%,"$53,934","$27,016","$1,341",$831,2.46,83.8%,31.0
114,"Smyth County, Virginia",83.0%,14.5%,70.3%,70.3%,17.7%,"$40,544","$22,319",$912,$598,2.39,89.5%,22.0
115,"Southampton County, Virginia",83.0%,19.0%,71.6%,71.6%,14.7%,"$53,681","$25,784","$1,251",$724,2.49,88.7%,31.0
116,"Spotsylvania County, Virginia",89.9%,30.4%,77.4%,77.4%,6.9%,"$81,434","$33,859","$1,711","$1,400",3.00,87.7%,38.2
117,"Stafford County, Virginia",93.7%,38.7%,75.8%,75.8%,4.6%,"$103,005","$39,158","$2,136","$1,481",3.04,83.7%,40.9
118,"Staunton city, Virginia (County)",89.6%,33.8%,57.5%,57.5%,13.1%,"$46,435","$27,571","$1,156",$806,2.19,82.0%,20.0
119,"Suffolk city, Virginia (County)",88.6%,27.2%,69.2%,69.2%,11.3%,"$68,089","$31,239","$1,782","$1,083",2.70,86.1%,28.4
120,"Surry County, Virginia",83.9%,19.1%,76.1%,76.1%,12.8%,"$54,656","$27,162","$1,258",$920,2.41,93.0%,39.3
121,"Sussex County, Virginia",73.3%,11.7%,70.7%,70.7%,22.4%,"$44,608","$15,882","$1,163",$837,2.05,77.6%,33.7
122,"Tazewell County, Virginia",79.7%,15.2%,76.8%,76.8%,18.1%,"$40,309","$24,325",$990,$622,2.38,89.6%,23.9
123,"Virginia Beach city, Virginia (County)",93.4%,34.8%,63.8%,63.8%,8.3%,"$70,500","$34,607","$1,780","$1,296",2.62,82.1%,23.7
124,"Warren County, Virginia",86.1%,20.9%,76.7%,76.7%,9.3%,"$65,353","$30,009","$1,463",$940,2.69,88.4%,40.7
125,"Washington County, Virginia",84.6%,23.4%,75.6%,75.6%,13.9%,"$44,844","$25,640","$1,042",$644,2.36,87.0%,24.0
126,"Waynesboro city, Virginia (County)",85.8%,22.3%,58.9%,58.9%,14.9%,"$42,112","$23,640","$1,208",$835,2.35,80.8%,21.5
127,"Westmoreland County, Virginia",86.4%,21.1%,76.8%,76.8%,15.5%,"$55,688","$32,265","$1,455",$961,2.36,88.6%,41.5
128,"Williamsburg city, Virginia (County)",94.2%,55.2%,47.3%,47.3%,22.5%,"$54,606","$26,921","$1,618","$1,118",2.29,60.3%,19.6
129,"Winchester city, Virginia (County)",83.6%,32.5%,45.6%,45.6%,12.6%,"$49,330","$28,429","$1,475",$973,2.52,82.2%,24.8
130,"Wise County, Virginia",75.6%,13.9%,69.2%,69.2%,23.3%,"$38,255","$21,694",$965,$634,2.42,87.7%,22.4
131,"Wythe County, Virginia",83.4%,18.3%,76.0%,76.0%,13.8%,"$46,119","$24,879","$1,036",$635,2.42,91.6%,23.4
132,"York County, Virginia",94.1%,43.6%,72.1%,72.1%,5.0%,"$86,781","$38,193","$1,858","$1,458",2.72,83.3%,21.9
